,rank,name,q,country
412,413,Deutsche Lufthansa,Q9325,Germany
413,414,Tokyo Electric Power,Q333894,Japan
414,415,Standard Bank Group,Q1576610,South Africa
415,416,Fosun International,Q3079736,People's Republic of China
416,417,SEB AB,,
417,418,Naspers,Q1965898,South Africa
418,419,Kweichow Moutai,Q1518607,People's Republic of China
419,420,National Commercial Bank,Q1518238,
420,421,Bank Of Jiangsu,Q11135108,People's Republic of China
421,422,Biogen,Q864338,United States of America
422,423,Suning.com,Q17066824,People's Republic of China
423,424,Bouygues,Q895325,France
424,425,Wilmar International,Q1786712,
425,426,Xiaomi,Q1636958,People's Republic of China
426,427,Magna International,Q697311,Canada
427,428,International Airlines,Q8774,United Kingdom
428,429,Femsa,Q1435628,Mexico
429,430,Adidas,Q3895,Germany
430,431,Netflix,Q907311,United States of America
431,432,Philips,Q170416,Netherlands
432,433,Sumitomo Mitsui Trust,Q5215535,Japan
433,434,China Yangtze Power,Q752496,People's Republic of China
434,435,Applied Materials,Q621610,United States of America
435,436,Paccar,Q1477661,United States of America
436,437,Sysco,Q2376711,
437,438,Larsen & Toubro,Q13099004,
438,439,Emerson Electric,Q1335585,United States of America
439,440,Samsung C&T,Q20716,South Korea
440,441,International Paper,Q202972,United States of America
441,442,Halliburton,Q656165,United States of America
442,443,China Cinda Asset Management,Q15933437,
443,444,Daikin Industries,Q1157589,Japan
444,445,FirstRand,Q5453738,South Africa
445,446,Salesforce.com,Q941127,United States of America
446,447,KIA Motors,Q35349,South Korea
447,448,CK Asset Holdings,Q19985983,
448,449,Consolidated Edison,Q1127536,United States of America
449,450,Svenska Handelsbanken,Q1421630,Norway
450,451,Swire Pacific,Q11723118,
451,452,General Mills,Q629998,United States of America
452,453,CTBC Financial,Q5100188,
453,454,SK Innovation,Q16172809,
454,455,Pernod Ricard,Q837049,France
455,456,Citic Securities,Q737443,People's Republic of China
456,457,New World Development,Q752084,
457,458,Waste Management,Q180388,
458,459,Sempra Energy,Q7449804,United States of America
459,460,Aegon,Q291171,Netherlands
460,461,State Bank of India,Q1340361,India
461,462,American International Group,Q212235,United States of America
462,463,Toyota Industries,Q1476105,Japan
463,464,Vodafone,Q122141,United Kingdom
464,465,Sampo,Q180956,
465,466,Subaru,Q172741,Japan
466,467,IntercontinentalExchange,Q841458,United States of America
467,468,LG Chem,Q486976,
468,469,Fifth Third Bank,Q1411810,United States of America
469,470,Dell Technologies,Q27500963,United States of America
470,471,SK Telecom,Q493145,South Korea
471,472,VTB Bank,Q1549389,Russia
472,473,Banorte,Q806914,Mexico
473,474,Swiss Re,Q605565,Switzerland
474,475,Mitsubishi Chemical,Q3107966,Japan
475,476,Centene,Q2946305,
476,477,BAE Systems,Q739416,United Kingdom
477,478,Hana Financial Group,Q490601,
478,479,Fast Retailing,Q1397688,Japan
479,480,CNH Industrial,Q15238661,Netherlands
480,481,Bank Mandiri,Q806639,Indonesia
481,482,HeidelbergCement,Q632233,Germany
482,483,Hewlett Packard Enterprise,Q19923099,United States of America
483,484,Talanx,Q2389856,Germany
484,485,Cummins,Q173476,United States of America
485,486,Orsted,Q36859600,
486,487,WPP,Q7954421,
487,488,Marsh & McLennan,Q30198,
488,489,Grupo ACS,Q1550888,Spain
489,490,Xcel Energy,Q1486956,
490,491,Las Vegas Sands,Q1506045,United States of America
491,492,NTPC,Q23529645,
492,493,China Zheshang Bank,Q15924407,
493,494,Commerzbank,Q157617,Germany
494,495,Toyota Tsusho,Q716457,Japan
495,496,Lennar,Q19760064,
496,497,Swedbank,Q1145493,Sweden
497,498,Compass Group,Q782697,
498,499,Woolworths,Q607272,Australia
499,500,Novatek,Q251546,
500,501,National Bank of Canada,Q634298,Canada
501,502,LG Electronics,Q162345,South Korea
502,503,Thales,Q36303,
503,504,Public Service Enterprise Group,Q930919,United States of America
504,505,Adobe,Q11463,United States of America
505,506,China Taiping Insurance,Q4036130,
506,507,TE Connectivity,Q663452,Switzerland
507,508,Mitsubishi Estate,Q304962,Japan
508,509,Metallurgical Corp of China,,
509,510,Emirates NBD,Q5372575,United Arab Emirates
510,511,Kansai Electric Power,Q1365015,Japan
511,512,Ecolab,Q1282031,United States of America
512,513,DXC Technology,Q28782856,United States of America
513,514,M&T Bank,Q105,
514,515,Fujitsu,Q186394,Japan
515,516,Constellation Brands,Q1128160,
516,517,Wesfarmers,Q908144,Australia
517,518,CLP Holdings,Q977959,
518,519,Al Rajhi Bank,Q1761176,Saudi Arabia
519,520,Asahi Group Holdings,Q720479,Japan
520,521,Illinois Tool Works,Q1510378,United States of America
521,522,Fujifilm Holdings,Q11455891,
522,523,Saint-Gobain,Q325680,France
523,524,Cognizant,Q1107035,United States of America
524,525,Tatneft,Q1616858,Russia
525,526,DTE Energy,Q5206232,
526,527,KeyCorp,Q1740314,United States of America
527,528,Recruit Holdings,Q2135836,Japan
528,529,NVIDIA,Q182477,United States of America
529,530,Sasol,Q905998,South Africa
530,531,JFE Holdings,Q962591,Japan
531,532,Bank of Ningbo,Q4856166,People's Republic of China
532,533,eBay,Q58024,United States of America
533,534,Mitsubishi Heavy Industries,Q648280,Japan
534,535,Citizens Financial Group,Q5122694,United States of America
